Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment76/sick-leave,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/organic-compound,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/bioreductive-agent,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/sympatholytic-agent-nos,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/substance-related-to-drugs,1,0.0227
http://www.w3.org/2002/07/owl#Thing,44,1.0000
file:/C:/ccviews/forget/experiment/experiment76/CHV_Concept,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/oxygen,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/insecticide-nos,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/part-time-employment,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/carbogen,9,0.2045
file:/C:/ccviews/forget/experiment/experiment76/fumonisins,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/polyenes,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/employment,14,0.3182
file:/C:/ccviews/forget/experiment/experiment76/yohimbine-hydrochloride,3,0.0682
file:/C:/ccviews/forget/experiment/experiment76/fumonisin-b3,2,0.0455
file:/C:/ccviews/forget/experiment/experiment76/physeter,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/alloocimene,2,0.0455
file:/C:/ccviews/forget/experiment/experiment76/UMLS_Concept,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/salaried-annual-employment,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/carbogenniacinamide,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/dicofol,4,0.0909
file:/C:/ccviews/forget/experiment/experiment76/return-to-work,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/seventh-cranial-nerve-functions-and-dysfunctions,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/chlorobenzenes,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/organism-substance,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/disability-leave,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/J2,2,0.0455
file:/C:/ccviews/forget/experiment/experiment76/self-employed,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/personal-attribute,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/alpha-adrenergic-antagonist,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/radiosensitizing-agent,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/hourly-employment,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/full-time-employment,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/ambergris,4,0.0909
file:/C:/ccviews/forget/experiment/experiment76/terms-related-to-personnel-management,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/carbon-dioxide,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/pseudogeusia,2,0.0455
file:/C:/ccviews/forget/experiment/experiment76/nikkajicompounds,3,0.0682
file:/C:/ccviews/forget/experiment/experiment76/fats-and-oils-surfactants-and-soaps,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/taste-disorder,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/unemployment,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/medical-devices,1,0.0227
file:/C:/ccviews/forget/experiment/experiment76/J484,2,0.0455
