Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment71/p-dichlorobenzene,2,0.0323
http://www.w3.org/2002/07/owl#Thing,62,1.0000
file:/C:/ccviews/forget/experiment/experiment71/human,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/strawberry-tree,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/gaultheria,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/prosthesis,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/nikkajicompounds,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/halogenated-hydrocarbon-nos,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/multi-drug-resistance-factor-pathway,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/ledum,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/burning-sensation-skin,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/carboxylate-esterase,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/disease-marker,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/sterol-esterase,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/11q13,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/prosthesis-implantation,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/ethanol-metabolism,3,0.0484
file:/C:/ccviews/forget/experiment/experiment71/calluna-vulgaris,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/multidrug-resistance-process,3,0.0484
file:/C:/ccviews/forget/experiment/experiment71/J4,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/carboxylic-ester-hydrolase,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/operative-surgery,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/biological-implantation,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/cytosol,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/alkyltransferase-and-aryltransferase,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/11-67107862-67110699,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/prostate-cancer-pathway,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/carboxylic-ester-hydrolases,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/ericales,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/glutathione-metabolism-pathway,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/h-y-antigen,5,0.0806
file:/C:/ccviews/forget/experiment/experiment71/rhododendron,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/angiosperms,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/perceptual-disorder,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/skin-disease,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/metabolism-of-xenobiotics-by-cytochrome-p450-pathway,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/detoxification,3,0.0484
file:/C:/ccviews/forget/experiment/experiment71/minor-histocompatibility-antigens,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/gene,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/arctostaphylos,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/ericaceae,12,0.1935
file:/C:/ccviews/forget/experiment/experiment71/histocompatibility-antigen,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/calluna,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/drug-metabolism-by-cytochrome-p450-pathway,4,0.0645
file:/C:/ccviews/forget/experiment/experiment71/gstp1-wt-allele,10,0.1613
file:/C:/ccviews/forget/experiment/experiment71/pieris-japonica,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/gstp1-gene,9,0.1452
file:/C:/ccviews/forget/experiment/experiment71/glutathione-s-transferase,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/vaccinium,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/burning-sensation-of-skin,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/transferase-gene,1,0.0161
file:/C:/ccviews/forget/experiment/experiment71/UMLS_Concept,2,0.0323
file:/C:/ccviews/forget/experiment/experiment71/glutathione-s-transferase-p,14,0.2258
