Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment11/diflucortolon-valerate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/flutamide,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/acetic-acid-chlormadinone,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/disorders-of-the-muscles-ligaments-fasciae-and-other-soft-tissues,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/midodrine,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/butyric-acid-clobetasone,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/cefotaxime,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/transferrin-binding-proteins,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/branched-fatty-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/amcinonide,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/pos,2,0.0103
file:/C:/ccviews/forget/experiment/experiment11/medium-chain-fatty-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/difluprednate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/fatty-acid-measurement,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/very-long-chain-fatty-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/betamethasone-dipropionate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/veratrine,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/dissociative-disorder-nos,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/joint-disease,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/cardiovascular,2,0.0103
file:/C:/ccviews/forget/experiment/experiment11/enzyme-inhibition,2,0.0103
file:/C:/ccviews/forget/experiment/experiment11/vincristine,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/propionic-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/hgp-30-peptide-human-immunodeficiency-virus-1,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/protein-structure-tertiary,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/hypermobility-syndrome,5,0.0258
file:/C:/ccviews/forget/experiment/experiment11/trichinella-spiralis,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/vitamin-f,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/populus-alba,3,0.0155
file:/C:/ccviews/forget/experiment/experiment11/transferrin-binding-protein-a,5,0.0258
file:/C:/ccviews/forget/experiment/experiment11/fatty-acid-synthesis,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/acebutolol,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/mental-disorder,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/beclometasone,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/dipivefrin,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/kringles,3,0.0155
file:/C:/ccviews/forget/experiment/experiment11/2-amino-910-epoxy-8-oxodecanoic-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/zoladex,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/transferrin-receptor,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/sodium-valproate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/cholesteryl-stearate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/cetyl-palmitate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/formoterol,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/deoxycorticosterone-acetate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/prednisolone-acetate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/docosahexaenoic-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/testosterone-propionate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/gp-110-env-protein-human-immunodeficiency-virus,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/hexadecanoic-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/hydroxy-fatty-acid,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/bacterial-transferrin-receptor-complex,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/fatty-acid-metabolism,2,0.0103
file:/C:/ccviews/forget/experiment/experiment11/shigella-vaccines,3,0.0155
file:/C:/ccviews/forget/experiment/experiment11/hydrocortisone-acetate,1,0.0052
file:/C:/ccviews/forget/experiment/experiment11/fentanyl,1,0.0052
