Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment81/vulvar-carcinoma,6,0.0270
file:/C:/ccviews/forget/experiment/experiment81/vulvar-melanoma,10,0.0450
file:/C:/ccviews/forget/experiment/experiment81/lacrimal-apparatus-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-x7c-body-fluid,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/other-specified-artery-atheroma,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/arteriosclerotic-vascular-disease-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/female-reproductive-system,17,0.0766
file:/C:/ccviews/forget/experiment/experiment81/tracheal-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Consume,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/disease-of-trachea-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/intrinsic-asthma-without-status-asthmaticus,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Vulva,51,0.2297
file:/C:/ccviews/forget/experiment/experiment81/acetylmethadol,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-neoplasm,16,0.0721
file:/C:/ccviews/forget/experiment/experiment81/treponema-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/excision,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Thrombus,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Animal-Development,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-soft-tissue-neoplasm,5,0.0225
file:/C:/ccviews/forget/experiment/experiment81/eikenella-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/other-organism-groupings,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-subsp-pertenue,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/eikenella-corrodens,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-x7c-donor-x7c-bld-ser-plas,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-pola-gene-x7c-genital,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/carotid-artery-atheroma,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/malignant-vulvar-phyllodes-tumor,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/metastatic-malignant-neoplasm-in-the-vulva,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/dysuria,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/vulvar-melanocytic-neoplasm,7,0.0315
file:/C:/ccviews/forget/experiment/experiment81/organ,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/UMLS_Concept,7,0.0315
file:/C:/ccviews/forget/experiment/experiment81/vulvar-granular-cell-tumor,5,0.0225
file:/C:/ccviews/forget/experiment/experiment81/subclinical-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Inner-Vulva,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/mons-pubis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/atherosclerotic-plaque,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/medical-worker,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/bartholins-glands,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/intrinsic-asthma-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/endodontics,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/cartilage-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/squamous-epithelium,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/nikkajicompounds,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/bartholin-gland-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/intrinsic-asthma,8,0.0360
file:/C:/ccviews/forget/experiment/experiment81/bartholin-gland,3,0.0135
file:/C:/ccviews/forget/experiment/experiment81/ccl2-gene,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum,16,0.0721
file:/C:/ccviews/forget/experiment/experiment81/Early-Atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-x7c-xxx,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/germ-line-chimera,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/retrograde-obturation,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/Chimera-Plant,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/bacterial-infection--disease-,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/carcinoma,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/transplantation-chimera,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Saturated-Fat,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/genitalia-female,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/eikenella,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-sp,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/non-neoplastic-tracheal-disorder,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/CHV_Concept,3,0.0135
file:/C:/ccviews/forget/experiment/experiment81/Stroke,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-x7c-bld-ser-plas,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/clitoris,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/nodular-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/atherosclerosis-generalized,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/granular-cell-tumor,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/atherosclerosis-cerebral,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/orthopedic-fixation-devices,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/allergic-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/squamous-cell,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/tracheomalacia,11,0.0495
file:/C:/ccviews/forget/experiment/experiment81/beta-adrenergic-antagonist,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/ventromedial-hypothalamic-nucleus,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/internal-fixation-device,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/atherosclerosis-of-renal-artery,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/peripheral-arterial-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/abnormality-of-the-respiratory-system,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/gastritis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/carotid-atherosclerosis,1,0.0045
http://www.w3.org/2002/07/owl#Thing,222,1.0000
file:/C:/ccviews/forget/experiment/experiment81/carotid-intima-media-thickness,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/propanolamines,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/pruritus,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-x7c-cerebral-spinal-fluid,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Reproductive-Organ,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-disorder,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/renal-artery-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/hypothalamus-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/atherosclerotic-coronary-heart-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-glandular-neoplasm,5,0.0225
file:/C:/ccviews/forget/experiment/experiment81/pubis,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/acquired-renal-artery-stenosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Pore,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Cardiovascular-Disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/hypothalamus-middle,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/hypothalamus,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/hemorrhage,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/coronary-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/malignant-vulvar-neoplasm,8,0.0360
file:/C:/ccviews/forget/experiment/experiment81/generalized-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/nf2-gene-inactivation,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/squamous-cell-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/Epidermis,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/Chimera,11,0.0495
file:/C:/ccviews/forget/experiment/experiment81/dental-procedure,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/germ-cell-tumor,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/organic-compound,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/anomaly-of-laryngeal-and-tracheal-cartilage,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/benign-female-reproductive-system-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/skin-appendage-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/arterial-arteriole-and-capillary-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-germ-cell-tumor,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/httpsbmi,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-subsp-endemicum,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/cerebral-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/soft-tissue-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/melanocytic-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/orthopedic-fixation-device,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/treponema-pallidum-subsp-pallidum,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/aortic-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/benign-vulvar-neoplasm,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/bacteria,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Create,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/helicobacter-pylori-gastritis,4,0.0180
file:/C:/ccviews/forget/experiment/experiment81/labium,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/animal-population-groups,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/brachial-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-squamous-neoplasm,7,0.0315
file:/C:/ccviews/forget/experiment/experiment81/metastatic-malignant-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/extremity-artery-atheroma,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/vulvar-neoplasm-of-skin-appendage-origin,5,0.0225
file:/C:/ccviews/forget/experiment/experiment81/asthma-nos,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Vulva-Development,3,0.0135
file:/C:/ccviews/forget/experiment/experiment81/malignant-phyllodes-tumor,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/apicoectomy,9,0.0405
file:/C:/ccviews/forget/experiment/experiment81/atherosclerosis-of-arteries-of-the-extremities,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Arteriosclerosis,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/radiation-chimera,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/asthma,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/health-personnel,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/nasolacrimal-duct-obstruction,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/bacterium,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/cholesterol-efflux-capacity-measurement,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/ID-20660,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/Organism,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/chromosome,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/bartholin-gland-carcinoma,6,0.0270
file:/C:/ccviews/forget/experiment/experiment81/arteriosclerosis-disorder,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/congenital-tracheomalacia,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/female-genitalia,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/medical-staff-hospital,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/internal-fixators,5,0.0225
file:/C:/ccviews/forget/experiment/experiment81/medical-staff,6,0.0270
file:/C:/ccviews/forget/experiment/experiment81/aorto-iliac-atherosclerosis,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/atherosclerotic-lesion,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/pafenolol,3,0.0135
file:/C:/ccviews/forget/experiment/experiment81/nose-disease,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/ID-20656,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/Outer-Vulva,3,0.0135
file:/C:/ccviews/forget/experiment/experiment81/ID-20658,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/oral-surgery,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/glandular-cell-neoplasm,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/ID-20657,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/J6,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/ID-20659,2,0.0090
file:/C:/ccviews/forget/experiment/experiment81/artery,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/tracheal-agenesis-without-tracheoesophageal-fistula,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/intrinsic-asthma-with-status-asthmaticus,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/atherosclerotic-aneurysm,1,0.0045
file:/C:/ccviews/forget/experiment/experiment81/Atherosclerosis,38,0.1712
file:/C:/ccviews/forget/experiment/experiment81/non-cutaneous-melanoma,2,0.0090
