Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment6/paramyxovirus,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/n-hydroxymephentermine,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/cytokine-cytokine-receptor-signaling-pathway,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/growth-factor,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/photon-correlation-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/optical-extinction-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/emission-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/parakeratinized-stratified-squamous-epithelium-present,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/optical-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/vascular-endothelial-growth-factor-d,15,0.1014
file:/C:/ccviews/forget/experiment/experiment6/primary-intraosseous-squamous-cell-carcinoma-derived-from-keratocystic-odontogenic-tumor,4,0.0270
file:/C:/ccviews/forget/experiment/experiment6/impedance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/cymiazole,4,0.0270
file:/C:/ccviews/forget/experiment/experiment6/e2f-transcription-factors,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/diagnostic-imaging,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/epithelial-cell,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/vegf,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/x-ray-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/thiazoles,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/ec,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/fiber-optic-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/medical-device,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/acaricide,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/organic-compound,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/vegfr3-lymphatic-signaling-pathway,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/ion-transport-process,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/magnetic-resonance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/spectrum-analysis,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/paramyxovirinae,8,0.0541
file:/C:/ccviews/forget/experiment/experiment6/CHV_Concept,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/neoplastic-epithelial-cell,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/e2f5-protein-rat,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/vasoconstrictor-agents,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/pain,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/selection--biology-,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/dichroism-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/electron-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/technique,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/morbillivirus,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/sympathomimetic-agent-nos,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/odontogenic-epithelium,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/e2f5-protein-mouse,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/fluorescence-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/physical-chemical-technique,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/vegfd-gene,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/x-ray-photoelectron-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/absorption-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/rubulavirus,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/struggle-for-survival,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/natural-selection,13,0.0878
file:/C:/ccviews/forget/experiment/experiment6/sympathomimetics,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/laidlomycin,4,0.0270
file:/C:/ccviews/forget/experiment/experiment6/reflectance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/bohrium,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/spectroscopy,65,0.4392
file:/C:/ccviews/forget/experiment/experiment6/element,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/swab,4,0.0270
file:/C:/ccviews/forget/experiment/experiment6/electronic-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/ion-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/angiogenesis-promoter,2,0.0135
