Class,Axioms,Coverage
http://www.w3.org/2002/07/owl#Thing,63,1.0000
file:/C:/ccviews/forget/experiment/experiment80/disorder-of-the-vertebral-column-nos,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/transcription-factor,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/dna-binding-protein,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/histamine-1-receptor-antagonist,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/gata2-transcription-factor,4,0.0635
file:/C:/ccviews/forget/experiment/experiment80/tooth-disease,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/brompheniramine,12,0.1905
file:/C:/ccviews/forget/experiment/experiment80/drug-for-respiratory-system,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/neamine,7,0.1111
file:/C:/ccviews/forget/experiment/experiment80/httpsbmi,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/bertolottis-syndrome,2,0.0317
file:/C:/ccviews/forget/experiment/experiment80/CHV_Concept,2,0.0317
file:/C:/ccviews/forget/experiment/experiment80/J1,2,0.0317
file:/C:/ccviews/forget/experiment/experiment80/cns-stimulant,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/respiratory-system-agents,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/teething,3,0.0476
file:/C:/ccviews/forget/experiment/experiment80/gata-transcription-factors,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/antihistaminic,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/osteogenesis-imperfecta,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/convulsants,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/glucoside,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/quinestrol,6,0.0952
file:/C:/ccviews/forget/experiment/experiment80/nikkajicompounds,2,0.0317
file:/C:/ccviews/forget/experiment/experiment80/organic-compound,3,0.0476
file:/C:/ccviews/forget/experiment/experiment80/ethinyl-estradiol,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/aminoglycoside-antibiotic,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/anti-allergic-agents,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/bemegride,10,0.1587
file:/C:/ccviews/forget/experiment/experiment80/skin-antibiotic-nos,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/carboxylic-acid,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/nonsteroidal-antiinflammatory-drug,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/phenol-ether,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/non-steroidal-anti-inflammatory-agent,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/respiratory-and-cerebral-stimulant-nos,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/sedative-and-hyp,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/enzyme-inhibitor,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/fenoprofen-calcium,7,0.1111
file:/C:/ccviews/forget/experiment/experiment80/antipyretic-analgesic,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/chloral,4,0.0635
file:/C:/ccviews/forget/experiment/experiment80/primaxin,3,0.0476
file:/C:/ccviews/forget/experiment/experiment80/UMLS_Concept,4,0.0635
file:/C:/ccviews/forget/experiment/experiment80/brompheniramine-pseudoephedrine-drug-combination,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/central-nervous-system-stimulants,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/central-nervous-system-stimulant,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/amino-sugar,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/histamine-h1-antagonists,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/brompheniramine-maleate-pseudoephedrine-sulfate-drug-combination,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/metabolite,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/aminoglycoside-antibiotics,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/steroidal-estrogen,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/framycetin,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/calcium-compound,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/propylamine-nos,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/calcium-alginate,3,0.0476
file:/C:/ccviews/forget/experiment/experiment80/non-steroidal-anti-inflammatory-agent-nos,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/diagnostic-drug,1,0.0159
file:/C:/ccviews/forget/experiment/experiment80/dexbrompheniramine,1,0.0159
