Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment3/zona-fasciculata,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/other-and-unspecified-acute-pericarditis,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/adrenal-gland-glandular-cell,3,0.0207
file:/C:/ccviews/forget/experiment/experiment3/glandular-epithelium,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/benign-adrenal-cortex-neoplasm,4,0.0276
file:/C:/ccviews/forget/experiment/experiment3/nikkajicompounds,3,0.0207
file:/C:/ccviews/forget/experiment/experiment3/bis--3--aminoiminomethyl-phenyl-methylene-carbonimidic-dihydrazide-trihydrochloride,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/malignant-endocrine-neoplasm,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/dalbergia,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/ctnnb1-gene,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/UMLS_Concept,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/fever,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/glomerulosa-zone,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/cortical-cell-of-adrenal-gland,3,0.0207
file:/C:/ccviews/forget/experiment/experiment3/4-oxoretinoic-acid,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/retroperitoneal-carcinoma,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/left-adrenal-gland-cortex,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/adrenal-gland-x-zone,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/Butter,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/glandular-cell,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/carbohydrate-metabolic-process,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/tumor-vascular-invasion,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/prkcd-protein-rat,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/hypothalamo-hypophysial-adrenal-cortices-system,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/benign-adrenal-gland-neoplasm,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/malignant-adrenal-cortex-neoplasm,4,0.0276
file:/C:/ccviews/forget/experiment/experiment3/zona-glomerulosa,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/mesoderm-derived-structure,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/right-adrenal-gland-cortex,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/glandular-epithelial-tissue,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/organic-compound,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/anatomical-structure,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/post-infarction-pericarditis,1,0.0069
file:/C:/ccviews/forget/experiment/experiment3/neuroactive-ligand-receptor-signaling-pathway,2,0.0138
file:/C:/ccviews/forget/experiment/experiment3/acute-pericarditis,7,0.0483
file:/C:/ccviews/forget/experiment/experiment3/tretinoin,1,0.0069
