Class,Axioms,Coverage
http://www.w3.org/2002/07/owl#Thing,91,1.0000
file:/C:/ccviews/forget/experiment/experiment26/tfdp1-protein-mouse,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/antineoplastic-agent-nos,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/chemoprotective-agent,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/pinacolyl-methylphosphonochloridate,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/tubulozole,2,0.0220
file:/C:/ccviews/forget/experiment/experiment26/transcription-factor-dp1,6,0.0659
file:/C:/ccviews/forget/experiment/experiment26/UMLS_Concept,4,0.0440
file:/C:/ccviews/forget/experiment/experiment26/circulatory-system-diseases,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/deoxycytidine,14,0.1538
file:/C:/ccviews/forget/experiment/experiment26/protectant-nos,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/autoimmune-disease,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/hydrocarbons-chlorinated,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/convulsants,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/chronic-rheumatic-heart-disease,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/anti-adrenal,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/rheumatic-fever,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/antidiarrheals,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/33-dimethyl-2-butyl-methylphosphonofluoridate,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/organometallic-compounds,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/vascular-surgeon,3,0.0330
file:/C:/ccviews/forget/experiment/experiment26/replacement-preparation-nos,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/neurotoxin,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/antitumor-drug,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/zalcitabine,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/rheumatic-myocarditis,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/antineoplastic-agent,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/deoxyribonucleoside,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/chemical-warfare-agents,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/heart-diseases,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/heart-disorder,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/heart-disease,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/httpsbmi,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/non-neoplastic-heart-disorder,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/bouillauds-disease,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/pinacolyl-dimethylphosphinate,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/rheumatic-nodule,1,0.0110
file:/C:/ccviews/forget/experiment/experiment26/rheumatic-heart-disease,17,0.1868
